grado,asignatura,facultad
grado-trabajo-social,Guía docente de Derecho II (2491116),Facultad-de-Trabajo-Social
grado-enfermeria-melilla,Guía docente de Anatomía Humana (5071111),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-historia-arte,Guía docente de Arte de la Prehistoria y las Primeras Civilizaciones (2931121),Facultad-de-Filosofía-y-Letras
grado-geologia,Guía docente de Biología (2681115),Facultad-de-Ciencias
grado-sociologia,"Guía docente de Conceptos, Teorías y Métodos en la Investigación Sociológica (214111B)",Facultad-de-Ciencias-Políticas-y-Sociología
grado-edprima-cc-act-fisica-melilla,Guía docente de Bioquímica del Ejercicio Físico (5881115),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-matematicas-fisica,Guía docente de Cálculo I (2951112),Facultad-de-Ciencias
grado-enfermeria-melilla,Guía docente de Bioquímica (5071112),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-nutrichnay-dietet-ciencia-tecnol-alimentos,Guía docente de Biología (2111111),Facultad-de-Farmacia
grado-medicina,Guía docente de Anatomía Humana I (2221111),Facultad-de-Medicina
grado-ciencias-ambientales,Guía docente de Biología (2061111),Facultad-de-Ciencias
grado-derecho,Guía docente de Derecho Romano (2421112),Facultad-de-Derecho
grado-enfermeria,Guía docente de Bioquímica (2071112),Facultad-de-Ciencias-de-la-Salud
grado-educacion-primaria-melilla,Guía docente de Bases Matemáticas en la Educación Primaria (5571113),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-administracion-direccion-empresas-dcho-melilla,Guía docente de Derecho Romano (5281115),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-fisioterapia,Guía docente de Citología e Histología (2411115),Facultad-de-Ciencias-de-la-Salud
grado-medicina,Guía docente de Bioquímica General (2221113),Facultad-de-Medicina
grado-geografia-gestion-territorio,Guía docente de Antropología (2081112),Facultad-de-Filosofía-y-Letras
grado-fisioterapia-melilla,Guía docente de Citología e Histología (5411115),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-sociologia,Guía docente de Ciencia Política (2141112),Facultad-de-Ciencias-Políticas-y-Sociología
grado-enfermeria,Guía docente de Anatomía Humana (2071111),Facultad-de-Ciencias-de-la-Salud
grado-medicina,Guía docente de Bioestadística (2221119),Facultad-de-Medicina
grado-fisioterapia-melilla,Guía docente de Anatomía del Aparato Locomotor (5411111),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-antropologia-social-cultural,Guía docente de Antropología Social y Cultural (2941111),Facultad-de-Filosofía-y-Letras
grado-estadistica,Guía docente de Análisis Matemático I (2231113),Facultad-de-Ciencias
grado-ciencias-actividad-fisica-deporte,Guía docente de Bioquímica del Ejercicio Físico (2881112),Facultad-de-Ciencias-del-Deporte
grado-educacion-primaria-ceuta,Guía docente de Bases Matemáticas en la Educación Primaria (4571113),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-medicina,"Guía docente de Citología, Herencia y Desarrollo Humano (2221112)",Facultad-de-Medicina
grado-biologia,Guía docente de Bases Químicas de la Biología (2001118),Facultad-de-Ciencias
grado-estudios-arabes-islamicos,Guía docente de Árabe Moderno Estándar I (2791112),Facultad-de-Filosofía-y-Letras
grado-ciencias-actividad-fisica-deporte,Guía docente de Anatomía Funcional del Aparato Locomotor (2881111),Facultad-de-Ciencias-del-Deporte
grado-terapia-ocupacional,Guía docente de Anatomía General (2431111),Facultad-de-Ciencias-de-la-Salud
grado-farmacia,Guía docente de Anatomía e Histología Humanas (2041111),Facultad-de-Farmacia
grado-comunicacion-audiovisual,Guía docente de Derecho de la Información y de la Comunicación (2271113),Facultad-de-Comunicación-y-Documentación
grado-educacion-primaria,Guía docente de Bases Matemáticas en la Educación Primaria (2571113),Facultad-de-Ciencias-de-la-Educación
grado-edificacion-administ-direcc-empresas,Guía docente de Expresión Gráfica I: Procedimientos Directos (2181114),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-enfermeria,Guía docente de Fisiología I (2071113),Facultad-de-Ciencias-de-la-Salud
grado-educacion-primaria-melilla,Guía docente de Enseñanza y Aprendizaje de las Artes Visuales y Plásticas (5571114),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-relaciones-laborales-recursos-humanos-mel,Guía docente de Elementos de Derecho Privado (5591111),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-lenguas-modernas-sus-literaturas,Guía docente de El Español Instrumental: Modalidades Orales y Escritas (2731119),Facultad-de-Filosofía-y-Letras
grado-bellas-artes,Guía docente de Fotografía (2601115),Facultad-de-Bellas-Artes
grado-optica-optometria,Guía docente de Física I (2871111),Facultad-de-Ciencias
grado-edprima-cc-act-fisica-melilla,Guía docente de Enseñanza  y Aprendizaje de las Artes Visuales y Plásticas (5881114),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-estudios-ingleses-filologia-hispanica,Guía docente de Fonética y Fonología del Español (2151115),Facultad-de-Filosofía-y-Letras
grado-estadistica,Guía docente de Economía (2231115),Facultad-de-Ciencias
grado-relaciones-laborales-recursos-humanos-mel,Guía docente de Elementos de Derecho Público (5591112),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-administracion-direccion-empresas-melilla,Guía docente de Economía Política (5331115),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-matematicas,Guía docente de Estadística Descriptiva e Introd.A la Probabilidad (2701115),Facultad-de-Ciencias
grado-fisioterapia,"Guía docente de Fisiología Humana I, Neurológica, Hematológica e Inmunitaria (241111B)",Facultad-de-Ciencias-de-la-Salud
grado-educacion-primaria-ceuta,Guía docente de Enseñanza y Aprendizaje de las Artes Visuales y Plásticas (4571114),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-administracion-direccion-empresas,Guía docente de Economía Política (2351115),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-administracion-direccion-empresas-dcho-melilla,Guía docente de Economía Política (5281113),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-fisica,Guía docente de Física General I (2671111),Facultad-de-Ciencias
